DATE,VISIBILITY,DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip
01-01-2010 00:00,9.993428306,80,68,,7,4.626060808,253,30.02,30.41,0.11
01-01-2010 01:00,8.723471398,30,69,78,77,0.913083502,179,29.48,30.03,0.13
01-01-2010 02:00,10.29537708,,2,41,43,10.30318744,7,29.87,30.24,0.08
01-01-2010 03:00,12.04605971,,48,44,70,17.07265397,188,29.99,30.05,0.07
01-01-2010 04:00,8.531693251,37,,-18,77,9.176510236,34,29.57,30.13,0.15
01-01-2010 05:00,8.531726086,56,23,67,60,4.961850904,289,29.82,30.15,0.09
01-01-2010 06:00,12.15842563,100,43,-13,10,17.04796721,137,29.68,30.17,0.08
01-01-2010 07:00,10.53486946,3,0,18,32,14.19658321,167,30.18,29.93,0.07
01-01-2010 08:00,8.061051228,1,53,-3,52,5.777353112,107,29.74,30.24,0.01
01-01-2010 09:00,10.08512009,11,51,84,97,11.61170818,307,29.99,29.73,0.02
01-01-2010 10:00,8.073164614,34,35,-18,52,15.3951132,139,29.73,30.37,0.08
01-01-2010 11:00,8.068540493,69,78,-3,71,5.480551282,360,29.77,29.81,0.09
01-01-2010 12:00,9.483924543,71,37,59,58,10.60849204,154,29.87,29.86,0.03
01-01-2010 13:00,5.173439511,20,43,75,20,,146,29.92,,
01-01-2010 14:00,5.550164335,60,81,-20,39,4.037490846,312,29.91,29.97,0.14
01-01-2010 15:00,7.875424942,34,86,5,79,10.831181,217,29.57,30.07,0.08
01-01-2010 16:00,6.974337759,47,46,31,91,12.16186187,53,30.08,30.14,0.08
01-01-2010 17:00,9.628494665,14,28,-9,34,10.22002637,14,30.21,30.04,0.05
01-01-2010 18:00,7.183951849,70,,17,52,5.918899538,222,29.94,30.39,0.14
01-01-2010 19:00,6.175392597,14,40,64,73,20.50391453,188,29.87,29.96,
01-01-2010 20:00,11.93129754,5,85,20,12,7.551989717,220,30.12,30.06,0
01-01-2010 21:00,8.548447399,,63,32,55,12.79201142,299,30.01,30.33,0.18
01-01-2010 22:00,9.135056409,67,87,,14,14.03669318,346,29.9,30.24,0.07
01-01-2010 23:00,6.150503628,21,47,55,32,2.454597365,357,29.81,29.91,0.07
02-01-2010 00:00,7.911234551,31,76,-8,40,14.14683631,339,29.91,29.8,0.17
02-01-2010 01:00,9.221845179,21,21,-3,64,10.04472071,148,29.55,30.03,0.01
02-01-2010 02:00,6.698012845,26,16,-2,14,8.684498076,284,29.96,29.92,0.22
02-01-2010 03:00,9.751396037,14,85,-2,18,9.385010615,106,30.2,30.14,0.01
02-01-2010 04:00,7.79872262,43,4,49,67,12.91439865,270,29.49,29.7,0.07
02-01-2010 05:00,8.4166125,85,60,27,51,1.412825143,341,29.44,29.99,0.22
02-01-2010 06:00,7.796586776,91,88,50,73,10.15972376,342,30.07,29.78,0.17
02-01-2010 07:00,12.70455637,101,5,50,60,12.15516805,323,30.34,30,0.03
02-01-2010 08:00,,8,52,7,10,20.80532145,250,30.3,30.18,0.07
02-01-2010 09:00,6.884578142,33,80,71,98,3.248916364,343,29.86,30.53,0.27
02-01-2010 10:00,,99,16,-2,23,12.2169859,63,30.04,30.05,0.08
02-01-2010 11:00,6.5583127,72,58,59,56,7.579987675,269,30.15,30.26,0.13
02-01-2010 12:00,9.41772719,14,38,60,66,12.42250535,164,29.62,29.82,0.11
02-01-2010 13:00,5.080659752,61,53,65,53,14.33319268,53,29.54,29.52,0.25
02-01-2010 14:00,6.343627902,44,47,62,82,6.324154284,314,29.86,30.22,0.03
02-01-2010 15:00,9.393722472,83,36,27,15,19.77565323,127,29.73,30.07,0.13
02-01-2010 16:00,10.47693316,71,47,8,50,16.60785047,186,29.97,29.95,0.13
02-01-2010 17:00,9.342736562,57,67,27,73,13.94107983,212,29.83,29.87,0.13
02-01-2010 18:00,8.768703435,91,77,-2,49,8.216139487,310,30.27,30.08,0.22
02-01-2010 19:00,8.397792609,18,76,78,99,7.227362445,179,30.05,29.59,0.18
02-01-2010 20:00,6.042956019,15,26,26,62,12.19803767,294,29.87,29.76,0.01
02-01-2010 21:00,7.560311583,74,87,68,36,8.02931938,332,,29.88,0.06
02-01-2010 22:00,8.078722458,7,26,39,92,7.381434629,146,30,30.08,0.03
02-01-2010 23:00,11.11424445,32,71,27,14,19.57607817,183,29.97,30.09,
03-01-2010 00:00,9.687236579,73,62,,17,12.73773045,163,29.86,30.14,0.13
03-01-2010 01:00,5.473919689,17,51,80,17,14.11775643,179,29.79,29.97,0.03
03-01-2010 02:00,9.648167939,34,46,-2,40,19.38296733,299,29.8,30.14,0.2
03-01-2010 03:00,8.229835439,42,20,21,90,10.41559508,301,30.21,29.74,
03-01-2010 04:00,7.646155999,49,56,56,77,6.837575626,96,30.18,29.9,0.15
03-01-2010 05:00,10.22335258,2,74,55,23,4.649097511,167,29.84,29.8,0.22
03-01-2010 06:00,11.06199904,103,41,28,11,16.77229942,335,29.99,30.1,0.09
03-01-2010 07:00,10.86256024,90,,-6,19,8.135680171,180,30,29.9,0
03-01-2010 08:00,7.321564954,58,26,39,85,4.771553762,299,29.65,30.12,
